784.6001 1135.571
815.2679 1134.93
844.6398 1134.911
875.0436 1134.808
905.283 1134.799
934.9677 1135.055
964.7734 1138.318
995.2703 1145.318
1025.028 1157.81
1054.498 1169.842
1079.219 1180.179
1102.047 1185.857
1127.149 1189.116
1160.17 1191.623
1182.123 1192.658
1208.36 1193.873
1235.623 1194.793
1271.598 1193.644
1306.97 1192.049
1340.477 1188.307
1369.225 1185.671
1398.31 1182.84
1430.229 1178.649
1467.004 1174.027
1492.771 1170.749
1519.772 1167.997
1546.772 1165.93
1572.312 1163.598
1598.067 1161.989
1625.75 1159.524
1650.008 1156.476
1678.284 1154.625
1705.723 1152.247
1732.784 1150.188
1764.228 1148.388
1792.092 1146.57
